"","Attribute","Term_Freq","Doc_Freq","TFIDF","Camera","Battery","Performance","Memory"
"1","AA",1,1,5.04985600724954,0,0,0,0
"2","accepted",1,1,5.04985600724954,0,0,0,0
"3","according",1,1,5.04985600724954,1,1,1,0
"4","active",2,3,7.90248743716286,1,0,0,0
"5","adding",1,1,5.04985600724954,0,0,0,0
"6","adds",1,1,5.04985600724954,0,0,0,0
"7","adorable",1,1,5.04985600724954,0,0,0,0
"8","advanced",1,1,5.04985600724954,1,1,0,0
"9","afternoon",1,1,5.04985600724954,0,0,0,0
"10","aim",2,2,8.71341765337918,0,0,0,1
"11","air",1,2,4.35670882668959,0,5,0,0
"12","allows",1,1,5.04985600724954,5,4,0,3
"13","amaze",1,1,5.04985600724954,0,0,0,0
"14","amazing",11,9,31.3789457290465,0,0,0,0
"15","amazon",9,7,27.935512723748,0,0,0,0
"16","angle",1,1,5.04985600724954,0,0,0,0
"17","anyone",1,1,5.04985600724954,2,0,0,0
"18","anything",2,2,8.71341765337918,0,2,0,0
"19","approx",1,1,5.04985600724954,0,0,0,0
"20","area",1,1,5.04985600724954,0,3,1,2
"21","ass",1,3,3.95124371858143,0,0,0,0
"22","attractive",1,1,5.04985600724954,0,1,0,0
"23","audio",1,1,5.04985600724954,0,0,0,0
"24","available",5,5,17.2020904740772,2,6,4,1
"25","average",9,8,26.7337301901273,0,2,2,0
"26","avg",1,2,4.35670882668959,0,0,0,0
"27","awesome",23,16,52.3771475552244,0,0,0,0
"28","awesomeness",1,1,5.04985600724954,0,0,0,0
"29","back",1,23,1.91436179132039,1,2,2,2
"30","backup",14,14,33.7511814868799,0,2,0,0
"31","bad",2,2,8.71341765337918,0,0,0,1
"32","band",1,1,5.04985600724954,0,0,0,0
"33","based",1,1,5.04985600724954,0,7,5,0
"34","bat",1,36,1.46633706879343,0,0,0,0
"35","battery",43,36,63.0524939581174,0,158,0,2
"36","batty",1,1,5.04985600724954,0,0,0,0
"37","beautiful",2,2,8.71341765337918,0,0,0,0
"38","become",1,1,5.04985600724954,0,1,0,1
"39","belongs",1,1,5.04985600724954,0,0,0,0
"40","best",12,15,28.1016696737679,0,1,0,0
"41","better",5,7,15.5197292909711,0,1,4,0
"42","beware",1,1,5.04985600724954,0,0,0,0
"43","bf",1,1,5.04985600724954,0,0,0,0
"44","bit",3,3,11.8537311557443,0,1,3,8
"45","black",1,1,5.04985600724954,0,0,0,0
"46","blue",1,1,5.04985600724954,0,0,0,0
"47","body",1,1,5.04985600724954,0,3,0,0
"48","bought",6,6,19.5485792281289,0,1,0,0
"49","box",5,3,19.7562185929071,0,0,1,0
"50","break",1,2,4.35670882668959,0,0,0,0
"51","breaking",1,1,5.04985600724954,0,0,0,0
"52","browser",1,1,5.04985600724954,0,0,0,0
"53","budget",3,3,11.8537311557443,0,0,0,0
"54","build",1,1,5.04985600724954,0,0,1,0
"55","bulls",1,1,5.04985600724954,0,0,0,0
"56","buoyed",1,1,5.04985600724954,0,0,0,0
"57","buy",20,17,44.3328532638664,0,0,0,0
"58","buying",3,2,13.0701264800688,0,0,0,0
"59","bxs",1,1,5.04985600724954,0,0,0,0
"60","call",1,6,3.25809653802148,0,1,0,0
"61","calling",2,2,8.71341765337918,0,0,0,0
"62","camera",42,35,62.7693337219252,112,0,0,0
"63","cant",1,1,5.04985600724954,0,0,0,0
"64","card",5,5,17.2020904740772,3,0,0,0
"65","care",1,3,3.95124371858143,0,0,0,0
"66","careful",1,1,5.04985600724954,0,0,0,0
"67","cart",1,1,5.04985600724954,0,0,0,0
"68","case",2,2,8.71341765337918,1,3,0,3
"69","catching",1,1,5.04985600724954,0,0,0,0
"70","category",1,1,5.04985600724954,0,0,0,1
"71","cell",1,9,2.85263142991332,9,49,0,4
"72","changed",1,1,5.04985600724954,1,0,0,0
"73","changing",2,2,8.71341765337918,0,1,0,1
"74","charge",7,9,19.9684200093932,0,35,0,0
"75","charged",3,2,13.0701264800688,0,11,0,0
"76","charger",2,2,8.71341765337918,0,4,0,0
"77","charging",4,5,13.7616723792617,0,38,0,0
"78","cheering",1,1,5.04985600724954,0,0,0,0
"79","china",2,2,8.71341765337918,0,2,0,0
"80","Chinese",2,2,8.71341765337918,0,0,0,0
"81","chit",1,1,5.04985600724954,0,0,0,0
"82","chore",1,1,5.04985600724954,0,0,0,0
"83","clarity",3,3,11.8537311557443,0,0,0,0
"84","class",1,1,5.04985600724954,0,3,0,0
"85","clear",3,3,11.8537311557443,0,0,0,0
"86","clicking",1,1,5.04985600724954,0,0,0,0
"87","closed",1,1,5.04985600724954,0,0,0,0
"88","color",2,2,8.71341765337918,0,0,0,0
"89","comes",3,3,11.8537311557443,1,0,1,0
"90","company",4,4,14.6542465845186,3,2,0,0
"91","compare",1,2,4.35670882668959,0,0,0,0
"92","compared",1,1,5.04985600724954,3,4,1,0
"93","comparing",2,2,8.71341765337918,0,0,0,0
"94","complaint",1,1,5.04985600724954,0,2,0,0
"95","complete",1,2,4.35670882668959,2,1,1,0
"96","concern",1,1,5.04985600724954,0,0,0,0
"97","condition",1,2,4.35670882668959,0,1,0,0
"98","conditions",1,1,5.04985600724954,1,8,0,0
"99","cons",2,2,8.71341765337918,0,0,0,0
"100","continuable",1,1,5.04985600724954,0,0,0,0
"101","continuous",1,1,5.04985600724954,0,0,0,0
"102","controls",1,1,5.04985600724954,2,0,0,0
"103","cover",2,2,8.71341765337918,0,0,0,0
"104","cox",1,1,5.04985600724954,0,0,0,0
"105","crying",1,1,5.04985600724954,0,0,0,0
"106","crystal",1,1,5.04985600724954,0,4,0,1
"107","cu",1,2,4.35670882668959,0,0,0,0
"108","customer",1,1,5.04985600724954,0,0,0,0
"109","dad",1,1,5.04985600724954,0,0,0,0
"110","damaged",1,2,4.35670882668959,0,1,0,0
"111","dart",1,1,5.04985600724954,0,0,0,0
"112","date",1,7,3.10394585819422,0,3,0,0
"113","Davidson",1,1,5.04985600724954,0,0,0,0
"114","day",5,11,13.2598036722558,1,0,0,0
"115","days",8,7,24.8315668655538,1,0,0,0
"116","deal",4,4,14.6542465845186,0,0,0,0
"117","dean",1,1,5.04985600724954,0,0,0,0
"118","decrease",1,2,4.35670882668959,0,0,0,0
"119","decreases",1,1,5.04985600724954,0,0,0,0
"120","dedicated",1,1,5.04985600724954,1,0,1,0
"121","defect",1,1,5.04985600724954,0,0,0,0
"122","deliver",1,3,3.95124371858143,0,0,0,0
"123","delivery",3,2,13.0701264800688,0,0,0,0
"124","design",1,2,4.35670882668959,2,1,3,0
"125","designed",1,1,5.04985600724954,4,1,3,0
"126","destroys",1,1,5.04985600724954,0,1,0,0
"127","deter",1,1,5.04985600724954,0,0,0,0
"128","device",6,5,20.6425085688926,4,7,1,0
"129","did",1,1,5.04985600724954,0,0,0,0
"130","direct",1,2,4.35670882668959,1,0,0,0
"131","disappointed",1,1,5.04985600724954,0,0,0,0
"132","disappointment",2,2,8.71341765337918,0,0,0,0
"133","discharging",1,1,5.04985600724954,0,4,0,0
"134","display",5,4,18.3178082306482,3,0,0,0
"135","dist",1,1,5.04985600724954,0,0,0,0
"136","do",5,12,12.8247467873077,0,0,1,0
"137","does",2,2,8.71341765337918,0,0,0,0
"138","don",1,7,3.10394585819422,0,0,0,0
"139","done",1,1,5.04985600724954,0,0,0,2
"140","dost",1,1,5.04985600724954,0,0,0,0
"141","doubt",1,1,5.04985600724954,0,0,0,0
"142","drain",1,2,4.35670882668959,0,1,0,0
"143","drains",1,1,5.04985600724954,0,0,0,0
"144","due",1,2,4.35670882668959,2,16,1,0
"145","duel",1,1,5.04985600724954,0,0,0,0
"146","e",2,148,0.105287466970844,0,5,1,1
"147","els",1,3,3.95124371858143,0,0,0,0
"148","empty",1,1,5.04985600724954,0,0,0,0
"149","everyone",3,3,11.8537311557443,0,0,0,0
"150","everything",7,7,21.7276210073596,0,0,0,1
"151","excellent",9,8,26.7337301901273,0,2,0,0
"152","expected",1,1,5.04985600724954,0,2,0,0
"153","experience",3,3,11.8537311557443,1,0,1,0
"154","eyes",1,1,5.04985600724954,1,0,0,0
"155","f",1,85,0.607204750759221,1,8,2,0
"156","factor",1,3,3.95124371858143,0,2,1,0
"157","factory",1,1,5.04985600724954,1,0,0,0
"158","fake",1,1,5.04985600724954,0,0,0,0
"159","fall",1,1,5.04985600724954,0,0,0,0
"160","fantastic",2,2,8.71341765337918,0,0,0,0
"161","fast",4,19,8.42166811233239,0,1,1,2
"162","faster",10,7,31.0394585819422,0,0,5,1
"163","fear",1,1,5.04985600724954,0,0,0,0
"164","feater",1,1,5.04985600724954,0,0,0,0
"165","feature",8,17,17.7331413055466,3,0,2,0
"166","features",14,13,34.788693097032,5,4,0,0
"167","feedback",1,1,5.04985600724954,0,0,0,0
"168","feel",2,2,8.71341765337918,0,0,0,0
"169","feels",1,1,5.04985600724954,0,0,0,0
"170","fictions",1,1,5.04985600724954,0,0,0,0
"171","fine",6,6,19.5485792281289,2,0,0,0
"172","finger",6,9,17.1157885794799,0,0,0,0
"173","fingerprint",3,3,11.8537311557443,0,0,0,0
"174","finishing",1,1,5.04985600724954,0,0,0,0
"175","first",2,3,7.90248743716286,17,4,0,3
"176","fixed",1,1,5.04985600724954,1,1,1,1
"177","flaws",1,1,5.04985600724954,0,0,0,0
"178","flip",2,2,8.71341765337918,0,0,0,0
"179","fly",1,1,5.04985600724954,0,0,0,0
"180","folks",1,1,5.04985600724954,0,0,0,0
"181","form",1,10,2.74727091425549,0,8,2,2
"182","found",2,2,8.71341765337918,1,5,0,1
"183","free",1,1,5.04985600724954,1,0,1,0
"184","freehanded",1,1,5.04985600724954,0,0,0,0
"185","front",7,7,21.7276210073596,1,0,0,0
"186","full",2,3,7.90248743716286,3,4,0,0
"187","fun",3,5,10.3212542844463,1,0,0,0
"188","futures",1,1,5.04985600724954,0,0,0,0
"189","g",2,127,0.411337841581892,2,3,0,0
"190","gain",1,1,5.04985600724954,0,0,0,0
"191","games",5,5,17.2020904740772,0,0,0,0
"192","gave",2,2,8.71341765337918,0,0,0,0
"193","GB",8,6,26.0647723041719,0,0,0,0
"194","gesture",1,2,4.35670882668959,0,0,0,0
"195","gestures",1,1,5.04985600724954,0,0,0,0
"196","get",8,11,21.2156858756093,1,0,1,0
"197","getting",1,1,5.04985600724954,0,0,0,0
"198","gift",1,1,5.04985600724954,0,0,0,0
"199","give",1,2,4.35670882668959,0,0,0,0
"200","gives",1,1,5.04985600724954,0,4,0,0
"201","glass",1,1,5.04985600724954,0,1,0,2
"202","go",3,72,2.31956966470044,1,3,0,2
"203","god",1,2,4.35670882668959,0,0,0,0
"204","godforsaken",1,1,5.04985600724954,0,0,0,0
"205","goes",1,1,5.04985600724954,0,1,0,1
"206","going",1,1,5.04985600724954,0,0,0,0
"207","gold",3,3,11.8537311557443,0,0,0,0
"208","gone",1,1,5.04985600724954,0,0,0,0
"209","good",78,65,68.2865615136042,1,7,0,0
"210","got",5,5,17.2020904740772,0,0,0,0
"211","gotta",1,1,5.04985600724954,0,0,0,0
"212","gram",1,2,4.35670882668959,0,2,0,0
