Attribute,TFIDF
accessories,9.210340372
account,9.210340372
additional,5.298317367
advertised,5.298317367
advertisement,9.210340372
age,3.218875825
alarm,10.59663473
amazing,24.54590528
amazon,31.01092789
amour,5.298317367
analyzing,5.298317367
Andra,5.298317367
anyone,5.298317367
anything,5.298317367
aperture,5.298317367
apology,5.298317367
appetite,5.298317367
apple,4.605170186
apples,5.298317367
are,3.688879454
arrange,5.298317367
aspect,4.605170186
aspects,5.298317367
attached,5.298317367
available,15.64809202
average,9.210340372
awesome,38.26715213
back,4.930208045
backup,32.18875825
bad,18.44439727
balance,5.298317367
bass,5.298317367
battery,57.1261832
be,1.801809805
bear,5.298317367
beast,5.298317367
beautiful,5.298317367
bed,4.605170186
been,5.298317367
best,24.65104022
better,31.90464303
big,5.298317367
bit,4.605170186
blaster,5.298317367
blur,5.298317367
body,5.298317367
booked,5.298317367
booker,5.298317367
borders,5.298317367
bought,15.64809202
brand,4.199705078
brands,13.81551056
brave,5.298317367
break,5.298317367
brilliant,5.298317367
brought,5.298317367
browsing,5.298317367
budget,5.298317367
built,5.298317367
bundled,5.298317367
buy,40.01593259
buyers,5.298317367
buying,5.298317367
calling,5.298317367
camera,76.39363551
cameras,15.64809202
cant,9.210340372
card,21.03934738
cardiac,5.298317367
cards,5.298317367
careful,5.298317367
cash,22.13327672
censor,5.298317367
charge,20.1144433
charged,5.298317367
charger,9.210340372
charging,37.70548722
cheaper,5.298317367
cheating,5.298317367
china,5.298317367
Chinese,15.64809202
choose,5.298317367
class,5.298317367
clean,5.298317367
clear,5.298317367
click,4.605170186
clicked,5.298317367
clone,5.298317367
cloud,5.298317367
CMOS,10.59663473
color,5.298317367
comes,12.59911523
comfortable,5.298317367
coming,5.298317367
comment,5.298317367
commerce,5.298317367
communal,5.298317367
compact,5.298317367
compared,9.210340372
compeer,5.298317367
complete,4.605170186
conclude,5.298317367
configuration,5.298317367
connected,5.298317367
cons,3.912023005
considering,12.59911523
contacts,5.298317367
continue,9.210340372
cool,5.298317367
copy,5.298317367
costly,9.210340372
coupled,5.298317367
cover,5.298317367
CPU,5.298317367
crap,5.298317367
credited,5.298317367
cricket,5.298317367
cry,5.298317367
customer,9.210340372
dabbed,5.298317367
data,9.210340372
date,7.824046011
day,24.60031208
days,15.64809202
deal,5.298317367
debit,5.298317367
DEC,5.298317367
decent,5.298317367
defective,12.59911523
deliver,5.991464547
delivered,9.210340372
delivery,26.81925774
Delmarva,5.298317367
demerit,5.298317367
design,4.605170186
designed,5.298317367
device,16.79882031
devices,5.298317367
disappointed,9.210340372
discharge,5.298317367
discount,10.59663473
discussion,5.298317367
display,24.54590528
do,32.83447238
does,9.210340372
doing,5.298317367
double,5.298317367
drive,5.298317367
drop,4.605170186
dropped,5.298317367
dual,15.64809202
due,9.210340372
duplicate,5.298317367
ear,2.995732274
earlier,5.298317367
earphones,5.298317367
ed,1.406497068
edge,5.298317367
effect,5.298317367
enjoining,5.298317367
enjoy,9.210340372
enterprises,5.298317367
etc,4.199705078
eureka,5.298317367
even,3.506557897
evening,5.298317367
everything,12.59911523
excellent,34.11202068
exchange,23.02585093
executive,5.298317367
expandable,5.298317367
expect,3.352407217
expectations,12.59911523
expected,8.399410156
experience,9.210340372
explanation,5.298317367
external,9.210340372
extra,9.210340372
eye,12.59911523
f,2.015715851
fabulous,5.298317367
fabulousness,5.298317367
faced,5.298317367
Fahd,5.298317367
fast,9.656627475
favorite,5.298317367
feature,14.06705358
features,23.46685052
